iter	Passed	Remaining
0	405	404737
1	623	311131
2	846	281304
3	1048	261167
4	1262	251184
5	1489	246751
6	1767	250767
7	1979	245504
8	2204	242733
9	2422	239819
10	2649	238235
11	2884	237490
12	3122	237053
13	3362	236801
14	3614	237336
15	3885	238935
16	4139	239344
17	4382	239082
18	4634	239274
19	4876	238959
20	5123	238867
21	5369	238697
22	5616	238558
23	5861	238359
24	6108	238229
25	6344	237685
26	6581	237193
27	6817	236674
28	7053	236156
29	7281	235437
30	7527	235286
31	7883	238484
32	8160	239113
33	8395	238534
34	8631	237981
35	8863	237343
36	9087	236514
37	9314	235791
38	9556	235487
39	9797	235141
40	10034	234705
41	10272	234319
42	10493	233538
43	10737	233304
44	10975	232920
45	11214	232573
46	11444	232055
47	11680	231669
48	11914	231243
49	12148	230825
50	12371	230204
51	12607	229836
52	12881	230162
53	13128	230000
54	13363	229617
55	13598	229232
56	13877	229585
57	14127	229448
58	14369	229177
59	14595	228662
60	14818	228110
61	15047	227647
62	15274	227170
63	15495	226614
64	15718	226109
65	15970	226012
66	16198	225567
67	16424	225116
68	16660	224800
69	16882	224294
70	17106	223828
71	17338	223469
72	17562	223017
73	17785	222559
74	18014	222179
75	18254	221931
76	18479	221517
77	18705	221110
78	18940	220808
79	19181	220582
80	19414	220266
81	19642	219902
82	19894	219800
83	20139	219612
84	20387	219462
85	20636	219325
86	20887	219201
87	21120	218890
88	21353	218576
89	21586	218266
90	21818	217947
91	22045	217577
92	22284	217333
93	22513	216995
94	22754	216764
95	22981	216406
96	23206	216036
97	23429	215648
98	23787	216488
99	24041	216373
100	24318	216459
101	24569	216310
102	24896	216816
103	25145	216641
104	25378	216320
105	25608	215983
106	25842	215674
107	26083	215428
108	26329	215226
109	26561	214906
110	26814	214757
111	27052	214486
112	27288	214202
113	27521	213896
114	27752	213576
115	28004	213413
116	28258	213267
117	28496	213001
118	28732	212714
119	28961	212381
120	29231	212350
121	29473	212109
122	29706	211810
123	29949	211577
124	30185	211300
125	30426	211054
126	30665	210794
127	30900	210510
128	31134	210221
129	31367	209917
130	31607	209673
131	31832	209322
132	32073	209082
133	32302	208758
134	32534	208458
135	32767	208172
136	32999	207874
137	33222	207521
138	33451	207208
139	33684	206920
140	33941	206776
141	34190	206585
142	34417	206262
143	34653	205997
144	34901	205796
145	35133	205506
146	35357	205167
147	35589	204878
148	35827	204625
149	36067	204381
150	36303	204119
151	36532	203814
152	36787	203656
153	37026	203402
154	37259	203124
155	37488	202823
156	37717	202523
157	37956	202276
158	38195	202026
159	38426	201738
160	38655	201442
161	38896	201206
162	39120	200884
163	39351	200594
164	39583	200315
165	39813	200025
166	40047	199760
167	40275	199459
168	40500	199146
169	40724	198829
170	40952	198535
171	41191	198292
172	41412	197966
173	41639	197667
174	41869	197382
175	42101	197110
176	42337	196856
177	42572	196597
178	42810	196355
179	43048	196109
180	43278	195830
181	43505	195536
182	43746	195303
183	43992	195097
184	44254	194959
185	44497	194735
186	44730	194469
187	44970	194235
188	45206	193982
189	45444	193735
190	45674	193459
191	45904	193180
192	46137	192917
193	46380	192692
194	46621	192463
195	46858	192217
196	47097	191974
197	47331	191717
198	47584	191533
199	47836	191346
200	48087	191154
201	48336	190953
202	48593	190783
203	48843	190584
204	49103	190427
205	49347	190204
206	49600	190013
207	49865	189871
208	50117	189679
209	50374	189504
210	50632	189332
211	50881	189127
212	51135	188939
213	51394	188767
214	51640	188547
215	51905	188397
216	52156	188195
217	52410	188005
218	52660	187799
219	52921	187631
220	53162	187391
221	53418	187204
222	53678	187030
223	53926	186817
224	54193	186666
225	54469	186545
226	54716	186326
227	54972	186135
228	55234	185964
229	55488	185766
230	55745	185578
231	55994	185360
232	56248	185160
233	56498	184946
234	56746	184726
235	56995	184510
236	57245	184297
237	57496	184086
238	57737	183841
239	57989	183633
240	58252	183459
241	58503	183245
242	58749	183017
243	59014	182847
244	59312	182777
245	59578	182609
246	59823	182376
247	60073	182157
248	60324	181941
249	60588	181766
250	60852	181588
251	61117	181411
252	61376	181218
253	61632	181014
254	61883	180798
255	62140	180596
256	62398	180398
257	62662	180215
258	62911	179990
259	63157	179756
260	63404	179525
261	63661	179322
262	63906	179084
263	64168	178892
264	64430	178703
265	64683	178487
266	64935	178267
267	65181	178032
268	65419	177775
269	65661	177529
270	65914	177313
271	66156	177066
272	66390	176797
273	66636	176561
274	66879	176317
275	67116	176060
276	67354	175803
277	67605	175580
278	67848	175335
279	68092	175095
280	68353	174897
281	68603	174671
282	68859	174460
283	69184	174422
284	69486	174324
285	69727	174076
286	69970	173828
287	70220	173600
288	70459	173345
289	70703	173100
290	70946	172856
291	71182	172594
292	71425	172346
293	71662	172087
294	71908	171848
295	72159	171622
296	72412	171401
297	72651	171146
298	72896	170903
299	73139	170659
300	73378	170404
301	73633	170185
302	73870	169925
303	74121	169700
304	74394	169522
305	74633	169266
306	74883	169035
307	75126	168791
308	75366	168537
309	75602	168276
310	76204	168825
311	77085	169982
312	77569	170255
313	77954	170308
314	78246	170154
315	78510	169940
316	78822	169828
317	79108	169660
318	79372	169443
319	79620	169193
320	79974	169167
321	80414	169320
322	80715	169176
323	81005	169011
324	81246	168742
325	81519	168540
326	81787	168326
327	82052	168106
328	82371	167997
329	82630	167764
330	82892	167537
331	83212	167427
332	83455	167161
333	83701	166902
334	83949	166645
335	84290	166573
336	84638	166513
337	84879	166242
338	85247	166219
339	85604	166172
340	85885	165978
341	86136	165725
342	86403	165501
343	86666	165271
344	86931	165044
345	87189	164802
346	87437	164543
347	87684	164282
348	87934	164026
349	88182	163767
350	88480	163600
351	88747	163376
352	88999	163124
353	89248	162866
354	89488	162592
355	89823	162490
356	90111	162301
357	90377	162073
358	90653	161862
359	90986	161753
360	91349	161696
361	91690	161598
362	91949	161354
363	92237	161162
364	92485	160899
365	92730	160631
366	92986	160382
367	93238	160126
368	93489	159870
369	93751	159630
370	93999	159368
371	94259	159126
372	94550	158935
373	94809	158692
374	95087	158479
375	95406	158334
376	95804	158318
377	96183	158270
378	96487	158097
379	96800	157937
380	97133	157810
381	97407	157585
382	97766	157498
383	98068	157317
384	98369	157135
